id,review,created_at,ratings,upvotes
197,"We made order for pizza lg. Thin crust, meat lovers, no sauce, with extra cheese, with jalapeños.. First pizza was without jalapeños. Second was with. I’m furious. It looked like they was saying, ""here’s your damn jalapeños. ** Off."" I call to tell them was on hold 20 minutes then it goes quiet then hung up. I called the 1-800 number. I will get a free pizza and I’ll get the big boss on this. Can’t wait to tell them about how I feel. I’m beside myself after this I don’t know if we will go back.","July 8, 2019",1,4
198,Pizza Hut Saint Augustine Florida. I call in my order. When I arrived to pick it up it wasn't ready yet so I paid for my order. I waited over 45 mins for my food. I had to go to the counter to even ask was my food ready. So the lady at the counter ask me for my receipts so I gave it to her. Then after I just giving it to her she ask me for it a again until she realize she had it in her hand. When I got home my pizza was cold and my boneless wings had hair in it. Disgusting. I was too mad to even come back. Guys in the back handling food without gloves on. Ugh! Just nasty. Do better Pizza Hut.,"July 6, 2019",1,2
199,"I ordered a large 2 topping pizza for carry out and because they were out of the regular crust they were going to upcharge me $2.00 more for a pan crust. If they were out of their regular crust then a good business practice would've been to give the customer the alternate crust at the same price. So, I canceled the deal and they lost a customer.","June 22, 2019",1,6
200,My name is Nancy. I wanted to compliment your outlet in Perungudi to hire a good staff. Her name is Nitya. I am quite conscious in reducing food outside for my child due to health concern however Nitya gave me a personalised service by helping me to choose without compromising on my child health. So it’s a combination of satisfying your crave and keeping health into mind. All credit goes to Nitya. I will visit the Pizza Hut Perungudi as long as Nitya is there and of course for the quality that you guys maintain. Kindly give her my best wishes and for her manager. If you recognise her skills she will take you and this Center to the next level. Please help her to exhibit her skill and also to keep her customers happy. Good job. Keep going????,"June 18, 2019",5,4
201,"Pizza Hut in Aurora IL is garbage. Placed order online for carry out. Picked up pizza to get home home and find a burned dried out pizza. Called the restaurant and spoke to the manager who suggested I come back and he would replace it. I’m sorry, but I believe if you do it right the first time, you don’t have to have customers coming back wasting time, gas and effort for you to get it right a second time!!!! What a lousy busy practice model. I should have read the “writing on the wall” when I got there and the parking lot was empty!!!","June 17, 2019",1,2
202,The order that I placed online was wrong. I had trouble with the website in the first place. I ordered a pepperoni lovers with two other toppings and did get the pepperoni on it. It was on my order confirmation email but wasn't made right.,"June 16, 2019",1,0
203,"Without a doubt the worst pizza I ever had. The crust was the texture of a cracker and tough, I think it was left from the day before, the pepperoni and mushrooms were paper thin and I am not sure if the white stuff was cheese or not, I called and complained and was told that's how they are. That will be the last Pizza Hut pizza I ever order.","June 7, 2019",1,0
204,"At night some friends and I got hungry, so naturally, we order pizza for delivery. So, after ordering our food with a bit of trouble (there were delivery minimums that had to be met, and supposedly were in the subtotal, but it didn't account for coupons) we learn that it would take 70-80 minutes to deliver our food when it said 20-30 minutes before we had ordered. It wasn't terribly late either, only 8:30 and for a larger chain like Pizza Hut, shouldn't orders like this be fairly common? And why even bother with delivery when it would be faster for me to walk to the restaurant, wait around for 10 minutes, and walk back food in hand. So overall, a terrible experience and would recommend going elsewhere.","June 2, 2019",1,5
205,"The pizza hut in Cedar Hill has the worst customer service. Placed online order, called the store and the customer service is horrible and the manager is horrible. This is why I order once every 6 months only because my kids wanted it. This location has always had bad service.","June 1, 2019",1,2
206,"I had ordered pizza with blue cheese dip. I ate it dipping my pizza on my blue cheese. Next day comes and I am shaking, I am cold, sweating cold, and throwing up. I come home and Check the blue cheese dip due date and it had expired 6 Days ago. It expired on May 21st 2019 and today is May 28th 2019, I honestly don’t recommend anybody buying from this place. You’ll be basically wasting your money buying expired food and getting sick from them!","May 28, 2019",1,0
207,We had ordered our pizza at 11:03. Two pizzas. A personal pan pizza and an order of bread sticks. The lady said it would be about 25-30 minutes for delivery. We waited over an HOUR for our food. When we called up there to find out what was taking so long the lady said she couldn’t do anything but call the delivery lady. Never did we hear back and it was still 10 minutes after the call that the food even showed up! On top of that the food was disgusting and not even done all the way. So all together we waited an HOUR and 10 minutes! I will never do delivery with Pizza Hut on Ruth Street in Sulphur again. Multiple times our food hasn’t been done.,"May 25, 2019",1,0
208,I've tried using my T-Mobile Tuesday coupon and it shows me the price $7.99 after using a coupon but when I tried to check out it shows me $23.39!! What a rip off. They show you the wrong offer to get your money. Shame on Pizza Hut! Not looking forward to getting pizza from them!,"May 21, 2019",1,2
209,"I ordered a pizza at 6, by 10 I still have not received my order. I didn't know that making and delivering a pizza was rocket science. Worst experience in a long time. I will never order from them again.","May 4, 2019",1,2
210,"Tonight, around 7 pm, I ordered pizzas for my kids. Let’s keep in mind I was spending my LAST $30 until tomorrow because spending $27 on pizza is cheaper and more efficient than going to the grocery store (5 teenage boys, pizzas for $5 and points for breadsticks for my daughter who doesn’t eat pizza). Anyhow, they decided that they don’t deliver to my area. I was cleaning up my son (he’s disabled) when I received a call from an unfamiliar area code so I didn’t answer because scammers call from this area code and it was NOT a local area code. ","May 2, 2019",1,9
211,"Ordering was easy. Customer service was good. The food was NASTY. The Cinnabon minis were tough and looked like unrisen, uncooked frozen dough thrown in a microwave. The P-Zone's were syrupy sweet and the marinara was even sweeter-no thanks-straight to the trash can, all of them. Tasted like someone dumped a large amount of sugar in them. The pizza had no flavor and was dry and hard/crunchy, hardly any sauce at all. What a waste of $$$. Every item was nasty to 3 different people. Says a lot.","April 25, 2019",1,3
212,"It's our first and last time ordering Calzones from Pizza Hut. They are soft and you can't hold them, there was a brownish yellow stuff dripping out of them so now our clothes are in the washing machine! They put the wrong dip in each box so we were eating the wrong Calzone and I'm left with a bad taste in my mouth. Two Calzones and 2 pop cost $32, so not only are we a greasy mess, it was a HUGE RIPOFF. Goodbye Pizza Hut. Stick your messy food and your high prices!","April 20, 2019",1,3
213,Ordered 2 large pepperoni and sausage thin crust. Got them on time but they were the worst pizzas we’ve ever had. Both were burned to a crisp and had virtually no sauce. Been loyal for many years but will have to look for another place. Jim **,"April 20, 2019",1,3
214,"I used the last of my money to get whatever I could for my kids as they begged for pizza. Found the dinner box that was a good deal and would feed them all. Turns out by the time I got it an hour later it was cold. It was hard, I couldn't take a bite hard. The breadsticks I asked for was cheesy bread, they gave me the regular sticks but was so greasy I moved the box and it was run off not to mention those being completely unedible and burnt. The cinnamon sticks they gave were hard and just grease. I could barely see or wipe off any cinnamon. With both sticks I couldn't make a finger imprint when I pushed down. It went nowhere. I am HIGHLY disappointed. Not only did I waste the only money I had but my kids couldn't eat. I am never going to Pizza Hut chain again. If this is what they serve I want nothing to do with it. I'll continue to go to Little Caesars or Domino's before I go to Pizza Hut again. I am so upset.","April 16, 2019",1,3
215,"I have come to the Pizza Hut on South High St and Grove City. Both locations have horrible service. At the Grove City location I was completely ignored on an order pick up. Would not give eye contact or I will be with you shortly. I waited for over 20 minutes and they were not even busy. The location on South High never answer their phone to be able to place the order, and I have been sitting at the window for over 20 minutes, nobody has come to me or acknowledged me. This is the worst customer service and really needs to be evaluated. I am a manager and if my customer service was ever this bad someone would be dealt with or fired. Please check into both areas, this needs to be addressed as there are so many other places to eat, that this may be my last attempt with Pizza Hut.","April 11, 2019",1,0
216,"We have ordered pizza to pick up or deliver from the location near Grindstone, PA. Where do I start? The personnel have horrible attitudes specifically one female that has the personality of a person on **. She is the one that took the order and had a nasty response when I told her it was wrong. Overall, they continuously get the orders done incorrectly. Not friendly. I now go to Uniontown to a few other pizza places to get what we all need.","April 8, 2019",1,0
217,"Last Saturday we ordered 4 pizzas, 2 Large & 2 Medium, they delivered 4 Medium, (receipt shows what I actually ordered). When I called them around 8:00 PM they seemed very busy and said the manager would call me back shortly. They never called back till 10:52 PM (I was already in bed). I didn't answer. By the way when they delivered they gave me a coupon for a free pizza that said for in restaurant or online, so I let it go. ","March 30, 2019",1,0
218,"My pizza was barely warm when it arrived, and very dried out. They do not put the mushrooms under the sauce which also causes them to be dried out. The cheese is so scarce, that you can actually see right through to the dough. No pizza should look like that. My pizza also had a poke into it, as if a finger had pressed right into my pizza, right down through the sauce and dough and it was still delivered this way. Also, the delivery man put my 2 liter of pop down on the porch in front of my door instead of handing it to me. When I asked where my 2 liter was he pointed to it on the ground and said, ""It's right there"". This place needs to go out of business already and be a thing of the past. This was Cuyahoga Falls, Ohio location.","March 30, 2019",1,0
219,"On 3/1/2019 I ordered food at Pizza Hut located on Stenton Avenue off of Washington Lane. I was told it would be a 45-1 hour wait, it was a 2 hour wait, and when I called the store NO ONE picked up. I drove there and the store was empty so the staff just did not answer. I then sent an email to corporate and was told that I would be contacted, I never was, so I sent another email with my contact information and still was sent no follow up email nor did I receive a call. This experience was handled unprofessionally by Pizza Hut and after spending $40.00 on food, it showed me to never again spend $5.00 in Pizza Hut and their unprofessional ways.","March 19, 2019",1,2
220,Can’t use a hard earned reward of a free large pizza for delivery because the minimum total must meet “$10”... Nice. So in order to use a reward that is “completely free!” Isn’t even free. $10 is a LOT of money to some people.,"March 14, 2019",2,4
221,Placed online order at 1:55 wait time 82 to 90 minutes. I was ok with that. Store is 20 minutes from my house. Order came at 4:23. to temp was at 50. Wings was hard. Fuqua location in Houston. Wasn't worth the $20.48 I spent. I SHOULD HAVE SENT HIM PACKING. Lesson learned. Never again.,"March 13, 2019",1,4
222,"I tried using the site to order pizza early Saturday. The site was unresponsive (Bring me that). So I called the store to order, said my card was declined. Then I got an email saying it would be delivered in 35 minutes and they billed our card. No pizza came and no call. Spent all day with live chat on (Bring me that) and was told internal management would call by 4:00 no call, no refund. I will never use this site or Pizza Hut again.","March 11, 2019",1,3
223,"Pizza Hut pan pizza dough tastes like bread dough, nothing like it was years ago. Their thin and crispy crust tastes like soda crackers, not made for pizza. The Classic pizza sauce does not even have the slightest taste of a tomato sauce like most pizzas have. Their pizza cheese does not taste like a good pizza cheese, mozzarella or provolone. Overall, Pizza Hut makes the worst pizza I have ever had! Anyone can Out Pizza the Hut! The only reason I gave them a one star review is because they were very prompt on delivery, I l had to throw out most of the pizza. I do not feel it was a quality pizza as they advertise!","March 10, 2019",1,3
224,"I had an foreign object in my food. I complained about it. Then the replacement food was horrible. I complained again. Now I have had fraudulent card use from Pizza Hut. It is one of the Pizza Huts in Hampton VA. Then on top of that, the driver gave herself a tip. Someone named Pamela was helping me until I told her about the fraudulent card use. Watch your bank statements after you order.","Feb. 25, 2019",1,5
225,"I ordered the Ultimate Cheesy Crust Pizza (Hut Favorite seasoning) with breadsticks, Mug Root Beer and an extra marinara sauce. Pros: The pizza tasted fine. The driver was nice. It arrived promptly. Cons: They were out of Mug and substituted Dr. Pepper. There was no Hut Favorite seasoning on the crust. The extra marinara sauce was not included. The marinara sauce that did come with the order was cold and tasted... off. Side note: I was AGM of Romeo's Pizza, Little Caesars and a delivery driver for Minuteman Pizza. This order is definitely sub-par for industry standards. They can do better.","Feb. 24, 2019",2,3
226,"Ordered pizza online using their app. Experience started good. Pizza arrived on time and hot but that was the only good part. No sauce on pizza, undercooked, 1 large pizza went in the trash plus it was very expensive. My local pizzeria which was closed so I tried to give Pizza Hut a try. Never again.","Feb. 24, 2019",1,2
227,"We went for a early lunch with our grandkids, we arrived at 11:45 am and were the first people in the restaurant. While the cashier seated us our server brought menus and assisted with specials. All was good up until that point, then The restaurant quickly started filling up and the server looked overwhelmed. We ordered our food and drinks at 12, we received our drinks at 12:15. None of our appetizers came, at 12:30 I asked where they were and he just replied that they were coming, mind you we were the first ones there and ordered first yet people who came in after are now munching on salads and breadsticks. ","Feb. 19, 2019",1,2
228,The pizza dough was undercooked and very dry. Took the pizza back to the manager but she refused to give any credit for it. So we left the pizza at the counter. The manager could care less. Only in Miami!!!,"Feb. 10, 2019",1,0
229,"It is our family ritual to order pizza on the weekends. We redeemed our Hut Reward points to receive a free pizza and I decided to purchase honey bar-b-que wings for dinner. We've always ordered pizza from our local neighborhood pizza hut and never had problems in the past until this evening. We placed our order at 6:18 and understood the delivery to be close to an hour as per the app tracking. After an hour, I made a call at 7:07 to get an estimated time of our order after noticing the app was not giving updated tracking info on our order. ","Feb. 10, 2019",2,0
230,"I have been ordering from Pizza Hut for a while. This is the second back to back late delivery within maybe a month or so. I placed one this morning for 12:45 pm and it is now 1:20 and still no pizza. When I called to question why it was late I was told by a nice young woman, who was very apologetic, that they only had one delivery driver. If your manager knew this the order was placed, he should have told me and I could have ordered from another company. He did say (from the background) that he could only give me $10 off of my order. I don't blame the drivers because it is not fault. I would say the manager is to blame and highly recommend he taking another training class. ","Feb. 5, 2019",1,3
231,"Ordered 7 pizzas. I couldn’t even taste the BBQ sauce on the BBQ chicken which maybe only had 1-2 tiny pieces of chicken on each slice, if that. The ham and Hawaiian didn’t even have a piece of pineapple on each piece and very little ham. The pepperonis and sausage pizzas had enough toppings I guess but lacking in taste.","Jan. 30, 2019",2,0
232,"After placing a take away order, we opted to taste a bit of it on the spot which was served to us. We had to ask for everything viz., Ketchup, Mustard Sauce, Paper Napkin etc. After consuming a bit, we requested to pack the balance buy they simply refused stating that they will garbage it but won't allow us to take home.","Jan. 25, 2019",1,0
233,"Service was good ordered, ordered on-line. Was there in less than 45 mins. Everything was nice & hot. However, pizza may not have been cooked enough, very doughy, and soggy with little to no sauce & way too much cheese to the point of gagging on it. Sauce is too sweet for my taste as are the boneless 'Hot' wings, no taste, dry & bland. Will never eat this terrible pizza again.","Jan. 17, 2019",1,0
234,"I love the pizza; however, I have had several bad experiences ordering pizza at multiple locations and actually never receiving the pizza. Today I ordered pizza for my team, who were in a licensing class. The order was confirmed at 12:14. It is 2:47 and they still have yet to receive lunch. I can't get the store to answer. Customer service can't contact the store. This is such poor service!","Jan. 13, 2019",1,0
235,It was very quick and simple to order and the people there were nice and friendly. The food was good even for my mom. The pizza I got was nice and fresh and tasted heavenly after a long day of work. I would get pizza from there again.,"Jan. 11, 2019",5,6
236,The service is great and the food is always fresh. The prices are very good. There is a lot of options for food on the buffet. Inside is very clean and nice in inside. Also the staff are great at this place. Would recommend this place.,"Jan. 10, 2019",5,6
237,"Every time I order take out from this place I have a hard time. And tonight I ordered one as a gift for someone in another local town and I was transferred OUT OF STATE!! And then they wouldn't accept the order because the order was over $30 and I had to be there with a ID to prove who it was. Seriously, my last time dealing with them. There are too many other good pizza chains where I don't have to put up with this BS.","Jan. 9, 2019",1,0
238,"I’ve dealt with slow delivery from here for years, but today was the last straw. A pepperoni pizza was supposed to take 45 minutes to arrive. I live 5-10 minutes away from them. A $2 delivery charge. After an hour, I called and the manager wouldn’t get on the phone making an innocent waitress deal with the situation. The delivery man said the pizza would probably be cold, no receipt, and it was thin crust, hard and inedible. Never again!","Jan. 6, 2019",1,3
239,Long ago Pizza Hut was terrible then they became good. They have gone back to being terrible. Pizza was supposed to be hand tossed - was thick like it was over proofed. It was more like sauce on a piece of sandwich bread. No chew to it at all. In my opinion it was undercooked also. Was supposed to have pineapple and it wasn't there. This is the second and last time I will get pizza like this from them. I will not be ordering ever again. I thought the first time was a fluke. Normally it was great in the past. Last time I threw the pizza away. This time no one in the family ate more than half a piece... I hate to throw it away. Such a waste of money.,"Jan. 6, 2019",1,7
240,"This was the second and last time we will ever order from Pizza Hut. The pan crust was dry and more like hand tossed. Our pizza had no sauce at all. We ordered breadsticks, dry almost like they had been sitting for days and they came with no sauce. Very unsatisfactory!!!","Jan. 6, 2019",1,0
241,"I made an order from Pizza Hut for $31. When I checked my credit card few days later, I found that they charged my credit card $46. I called the location from which the order came and was told to call back within few day because the manager is not available. I called Pizza Hut customer service and spend long time to get someone to explain the issue, the person who responded gave me a case number and told me I will be refunded within 3 days to my credit card. One month is gone and I still did not receive this refund. I use to buy from them but did not checked every time if they charged the exact amount or overcharged. I'm not sure if they do this often to other people. I will not buy from Pizza Hut anymore.","Jan. 5, 2019",1,4
242,This was by far the worst experience EVER at a Pizza Hut. Came in at 8:50! NOBODY in the whole place yet - 45 min here we still sit with NO pizza. 1 family comes in after us and gets drinks order taken AND their food before they even take our order. Kids just got done a basketball game and we’re starving! 1 waiters for that table and we had a girl who worked in the kitchen! Had to repeat our order 3 times. Other table has their check and we still don’t have our food!!! TERRIBLE - never will come here again. IT IS LOCATED ON RT 10 & 23 in Morgantown.,"Jan. 5, 2019",1,0
243,"I had placed an order online for carryout for a future time around 8:15p. I arrived about 8p to check up on my order. A heavy set ** associate stated that the pizza hasn't been placed in the oven yet. I proceeded to tell her that's fine, I will run to Walgreens across the street and will come back. She rudely insisted that I pay first (when my order hasn't even been placed in the oven). I am a regular customer mostly ordering online for delivery. I told her that I will pay be at pick-up, and she kept stating that I should pay now, meaning if I don't my order is not going to be made. Then I asked her is this a new policy and she stated this has always been their policy. Keep in mind that I have been ordering from this Pizza Hut for years. ","Dec. 31, 2018",1,3
244,This is the first time I have ever got a great experience from this store. It was delivered on time and the driver was friendly and brought plenty of condiments. This is how customer service is supposed to be and he should be teaching other employees how it's supposed to be done. Well done Pizza Hut in West Memphis. The product has always been great. Now they have the customer service. Couldn't have asked for anything better.,"Dec. 30, 2018",5,4
245,"I placed a very large order for delivery online. The total amount came to almost $60. I requested that they bring change for $100 in the comments for the driver. When I clicked submit order I noticed a disclaimer that said they carry less than $20 and will not give change for anything higher. Since I am a regular customer, I called the store right away to give them payment in form of debit over the phone. They took the info and charged my card.","Dec. 22, 2018",1,2
246,I guess Sean is the new Assistant Manager at the Pizza Hut over on Manatee Ave (I think it's Store 4606). My family and I had been out all day and just needed to get something to eat quickly. Called it in and he was very courteous and our pizzas were hot and fresh!!!,"Dec. 13, 2018",5,6
247,"I recently purchase pizza at the East Main store in Lancaster Ohio. I was surprised to have the waiter serve me with his pants pulled down to where 6-7 inches of his underwear was showing. There was also very little topping on the pizza. I say this as I went to the Memorial Drive Pizza Hut where there was an adequate amount of toppings to make a quality pizza. In the future, I will be purchasing elsewhere than East Main.","Dec. 10, 2018",2,2
248,"Yuba City CA. Store delivered two overcooked pizzas and when we called we were given nothing but pushback from the manager, no apologies, no replacement, no return for a refund. Had to call corporate to try to get my money back. Still waiting on that. Choose another pizza place. You will be better off.","Dec. 9, 2018",1,3
249,"I used to love Pizza Hut. It was my go-to for ordering pizza. Today, after a difficult day and wanting some easy comfort food, I decided to order. I have not ordered from this branch since moving into my new house. I ordered online. When I placed my order, I marked that I would pay by check. It said it would arrive in 20-30 minutes. After about 45 minutes, I called and was told I could get a $4 discount. Then at about an hour, the pizza arrived. It was warm, not hot. Then I was told that branch did not accept checks. I didn't have any cash. I called the branch and asked for a comp since it was late, luke-warm, and there was no indication that checks were not allowed. The lady I spoke with said to give the pizza back to the delivery guy and it would be voided. I am very disappointed with my first experience ordering from this branch. I will not order a Pizza Hut pizza again, nor will I recommend them to anyone.","Dec. 9, 2018",1,3
250,"Perfect stuffed crust meat lovers pizza - it's the best pizza for delivery you can get. Exceptional customer service kind, polite, and professional. Fast delivery, kind and polite as well. I highly recommend Pizza Hut to anyone anywhere anytime - Thanks!","Dec. 1, 2018",5,0
251,"I called about an hour ago and the lady on the phone was very rude. After I gave her my address she was very rude and said “ha honey nobody is going to deliver all way out to you.” So I called Hungry Howie's and gave them my address, they said yes they will deliver to me. Mind you, Pizza Hut is only 8 miles from my house, and Hungry Howies is almost 14 miles from my house! VERY DISAPPOINTING.","Dec. 1, 2018",1,2
252,"Pizza Hut, please bring back the Peruvian cherry peppers as a topping option. They taste great and are a rare find, much better than the average pickled sliced jalapeno! Thanks, love the pizza, a true classic meal dating back to delicious ancient times!","Nov. 27, 2018",5,3
253,"We ordered pizza, wings, fries & cinnabons, online, and was told the order would take 2 hours!? Order actually arrived within an hour. After sitting down to eat, we found both pizzas were somewhat raw and extremely greasy, the wings were sloppy and overcooked, the fries were soggy and the Cinnabons were extremely tiny, definitely NOT what we were expecting! Tried to call and complain, but no one would answer their phone! In order to eat our pizzas, we had to put them in the oven to cook longer! We will definitely NOT be getting ANYTHING from them again!","Nov. 26, 2018",1,3
254,I ordered a cheese pizza for my two boys and somehow I got a pizza with black olives and buffalo sauce on it and when I call Pizza Hut back they said that it was a mistake on my part and they could do anything about it. And when I stated that I would never order a pizza with black olives or buffalo sauce the woman replied that people like what they like with no regard to the fact my two boys don't have anything to eat because of their mistake.,"Nov. 18, 2018",1,2
255,I have been ordering pizza for many years here in Tucson AZ at my local pizza hut. I always order extra sauce because they tend to skimp on the sauce. Every time lately when I order my pizza it always is either so so or horrible! This last one I ordered had no sauce at all and the crust was very doughy. Frozen pizzas are better than the pizzas I order from Pizza Hut. They are very inconsistent. I will not be ordering from Pizza Hut again. Now I can understand how they get such bad reviews. If they don't improve I am sure they will not be in business for the long. There is too much competition out there. I am not one to review but this was the worst pizza from Pizza Hut.,"Nov. 9, 2018",1,3
256,"Assistant manager ** is a outstanding employee. She is very nice. She is quick with the customer orders and makes sure the rest of the staff is on the same page to make all the customers happy and satisfied carry out are deliveries. Located at the Pizza Hut in 1866 Government Street, Mobile, Alabama.","Nov. 9, 2018",5,0
257,"2805 Ridge Pike, Norristown PA Location - Unbelievably the worst experience I have EVER had! Provided wrong pizza and raw breadsticks. When the order was picked up by my wife and kids, they had to wait another 20 minutes beyond the stated time for pick-up. I went to the store because they do not answer the phone. Order was placed online. For over 15 minutes no answer... When I arrived phones were ringing and no one was answering them. I hung up and then phones continued to ring. The staff was walking around in a daze and seemed under the influence of something. One staff member who I later learned was the manager was on his cell phone while making food. I asked to speak to the manager. 10 minutes later no one! I asked again. ","Nov. 8, 2018",1,2
258,Be aware of this Pizza Hut store located at 4432 Curry Ford Orlando Florida. They will charge you whatever amount they want as tips without your permission. Just happened to me this past Saturday. I will not recommend it.,"Oct. 27, 2018",1,6
259,"I am pizza lover. Trying all brands in my city - Phoenix AZ. Have to admit that Pizza Hut is THE WORST! Besides the taste, the help people are rude, which is rare in Scottsdale and Phoenix areas. Never again. I read other reviews from other states, maybe they are real people, not fakes, but I would not recommend to use Pizza Hut. There are many much better brands.","Oct. 21, 2018",1,2
260,"Ordered meatball & mushroom pizza (hand tossed crust). Got home & it was thin crust, burnt mess. Tasted like old cardboard. When they see they burnt it - why would they have the nerve to take my money?","Oct. 10, 2018",1,2
261,"After reading the negative reviews on this site, I just want to chip in and share a story on how my Pizza Hut experience went. So I was ordering a pizza course for myself, it was around nighttime and there were many customers around me. I made my order and the waitress was very kind to me and double checked each item. My orders came in fast, the food was good and I was satisfied with their customer service. I'm aware that the staff may have changed but I would still recommend dining in at Pizza Hut.","Oct. 3, 2018",5,3
262,"I order 2 large pizzas specifically with extra heavy sauce, and did not receive, so I decided to contact the store where the manager (Billie **) offered me $5 cash back. So I decided to go down to Keaau Pizza Hut, where I spoke with Kirk and the problem was not resolved. I didn’t receive a cash refund or pizzas with extra heavy sauce. And when I went down Kirk ** asked “Why are you complaining, when there is no charge for extra sauce”? Very bad service, and very dry terrible tasting pizza.","Sept. 29, 2018",1,2
263,"I had been utilizing my local Pizza Hut for a while since the scandal with Papa John's, and had been pleased with the pizzas I had ordered. But this last time, I was very disappointed with the quality of my large, stuffed crust, hand tossed pizza. It was not up to the quality of pizzas in the past. It almost tasted like it wasn't fresh. And the toppings were skimpy. I hope this was just an isolated occurrence.","Sept. 24, 2018",2,0
264,"Pizza Hut started charging a service fee in California! Why should I have to pay for service when I'm picking up my own pizza and I'm not even eating inside their facility? So I have to pay extra for them to make my pizza? That's ridiculous! By the time I ordered my pizza... They added tax and then the service fee the pizza cost nearly $10 more and if I wanted delivery it would have been service fee, tax, delivery charge then a tip for the delivery guy. That adds $15-$20 on to the order! I've decided to stop eating Pizza Hut altogether because there are other pizza places that don't do this... Bye Pizza Hut!!!","Sept. 18, 2018",1,5
265,"On 9-8-18 at 12 we went to Pizza Hut, Waterville, Maine for lunch. There was 3 other families in there when we arrived, one family arrived shortly after us and another after that. We ordered salad, breadsticks and personal pizzas. Nothing major, however the salad bar was empty, bottom can be seen of most containers, the breadsticks had more parmesan cheese than the cheese itself, one pan pizza was supposed to be crispy however the other was. Upon getting the breadsticks the waitress brought our bill asking us if we wanted a box, when we had not even gotten our pizza as of yet. ","Sept. 9, 2018",1,3
266,"Ordered Pizza on a Sunday @ 10:15 PM. Waited, and Waited, and Waited. Now it is Midnight 12 AM, Store CLOSED, NO ANSWER, NO PIZZA, CARD CHARGED! WTH? ARE YOU PEOPLE **? Or what? I want my money back ASAP and FREE Pizza for a year! We are Hungry, and P>O>! Corporate office should shut place down! Either that, or start by firing entire staff! Most ridiculous scenario ever!","Aug. 13, 2018",1,17
267,Pizza was so dry today I returned it. Only sauce baked to exposed crust. No sauce under toppings. Was not always this way. Been ordering from their store 2 blocks away for 18 years. In the past couple of years it seem that they are trying to save money using less and less sauce to require us to pay for extra sauce. Guess I'll look for different place.,"Aug. 4, 2018",1,6
268,"I ordered a large thin crust pizza, half with cheese, pepperoni, mushrooms and jalapenos. The other half without cheese with mushrooms and jalapenos only. I ordered it on the phone. He repeated it three times to me. And I also ordered the Pizza Hut crust flavoring. We got the pizza. It was like cardboard, the whole thing has pepperoni on it and no cheese and no crust flavoring. Me being vegan I couldn't eat anything so I had to go to Mod Pizza, which we should have went to in the first place! My poor husband who is a meat eater and eats Dairy had no cheese on his freaking pizza and we just threw it away. It was $20 wasted.","July 28, 2018",1,8
269,"I just wanted to make known that these people make the best pizza I have ever tasted, and I have tasted all the competition, I have done business with them for years and have always been a big fan, it is nice to have a stable company that makes a great product I like and that comes thru for you every time, and I am also glad that they are now the official pizza company for the NFL, among other good news I heard about this company, guess who I will be ordering a pizza from at the time of the Superbowl before kickoff? If you said ""PIZZA HUT""... You guessed it!","July 14, 2018",5,3
270,"Manager on duty would not honor online order coupon, and shook his head and made sarcastic, rude comments during conversation. Very unprofessional, will never go back to that Pizza Hut in Rock Hill. And my family eats pizza at least once a week so losing a very loyal customer!","June 20, 2018",1,8
271,"Quit trying to please everyone. ""BACK IN THE DAY"" Pizza Hut came on strong...going for the 'Pepsi"" generation. Lately they act like they were bought out by Disney...only interested in 'Families'. Well guess what...you're closing store all over now aren't you??? What happened to ""ANCHOVIES""??? What happened to 'hustling' the customer making them feel wanted and important instead of 'What do YOU want'? Remember when you could get a BEER with your meal?","June 17, 2018",1,7
272,They hired teenagers to get St. Clair Pizza Hut running. Started out good til they hired Barb. Then everything went downhill fast. They stopped giving teenagers hours so they would quit. Then treating hourly employees so horrible they were leaving in tears because of management mistakes that they are trying to blame on employees. Horrible. They also force employees to purchase drinks while they work not providing anything to drink for free. Disturbing that the one good manager up there thought it was wrong and purchased waters for his employees out if his own pocket. Meanwhile the manager Barb eats their food in front of employees and doesn't pay. This place disturbs me!!!!,"May 4, 2018",1,16
273,"I was a regular at my local Pizza Hut, at the time of my last order I had 12 orders placed within 30 days, that's 3 orders per week! I also had more than enough points for free pizza. Long story short (sort of lol) I ordered, found a hair under a slice of pizza as I lifted it up and immediately called to let them know of the issue. The lady that answered stated she needed to speak to the manager, I could hear him in the background yelling and cursing about my situation. Told the lady to tell me If I wanted another pizza sent I would need to return the pizza with the hair on it, but there was no way I would take another pizza from them, I don't think anyone else would either after hearing the manager's level of professionalism, or lack thereof.","April 27, 2018",1,11
274,"Dining in at your store in Southgate, MI and was told I could not have the wifi password. It's 2018 and almost all restaurants have free wifi, I would think a big chain like Pizza Hut would too! Very disappointing!!","April 26, 2018",1,6
275,"April 20 2018 I placed an order online for delivery. The delivery person made the delivery but it was incomplete; I didn't realize it until a few minutes later. I called the Pizza Hut on Hopkins Avenue, but the person on the phone put me on hold and never got back with me. I called again and the person on the phone said I had to be put on hold because they were busy with customers, although the reason the person answered my call was to possibly take a new order. I've tried calling again and again but I can't get through. A few days ago I had a very similar situation with the same Pizza Hut. I actually had to drive to the store to get my order corrected. I am LIVID, and I won't do business with these thugs anymore. They should be ashamed of themselves for how they conduct business, but I guess it's the American way. I'll continue to find opportunities to tell people about their self-serving, rip-off practices. I'll never do business with them again.","April 21, 2018",1,11
